,第一本部,第二本部,第三本部,動画本部,メディア本部,マーケティング事業本部,インバウンド事業本部,リテールメディア本部,[DXダイレクトビジネスセンター]データ本部,[DXダイレクトビジネスセンター]DXコンサルティング本部,次世代メディア本部,オペテク,[子会社]サイバーティカル,[子会社]CASM
"初対面の人と会うときの気持ちは？
1：ちょっと気疲れする…
10：テンション上がる！",10,5,9,8,3,4,8,8,4,4,8,3,8,7
"考えるのが好きなジャンルは？
1：ふわっとしたアイデアを形にする
10：データでロジックを詰めていく",4,9,4,5,10,6,2,4,10,9,8,10,5,8
"やりがいを感じるのはどっち？
1：ゼロイチで作る瞬間
10：課題を一つずつ解決する瞬間",8,9,7,7,8,9,1,4,8,7,7,8,1,2
"仕事のスタイルを一言で言うと？
1：アイデアマン
10：コツコツタスク実行型",8,8,6,6,10,1,6,3,8,7,7,9,4,8
"現場で起こるリアルな課題に向き合いたい？
1：YES！
10：全社目線で戦略から入りたい！",3,8,4,7,5,8,1,1,6,7,4,8,3,3
"会議ではどんなポジションが多い？
1：みんなの意見をまとめる
10：静かに本質を突く発言をする",3,7,5,6,8,10,3,2,7,6,2,6,1,5
"“ありがとう”が一番刺さるのは？
1：「あの人がいたからチームまとまった！」
10：「ミスを防いでくれて助かった！」",3,8,6,5,8,3,4,3,6,7,7,10,1,7
"新しい制度を考えるなら？
1：大胆に変えたい！
10：過去の実績を踏まえて丁寧に調整",7,9,6,6,9,5,1,1,6,9,7,10,2,6
"どっちの仕事に燃える？
1：新規事業の立ち上げ
10：年間数十億規模の大型案件",10,8,2,9,9,9,1,2,6,4,8,2,1,1
"「複雑な組織構造」を見ると…
1：どうしたらもっとシンプルにできるか考える
10：そのままを理解して活かそうとする",7,7,6,7,7,1,5,3,9,5,8,1,7,7
